"","Assigned To","RESOLVED MERCHANT NAME","Confidence Level
(Resolved = 3
Unsure = 2
Can"t Resolve = 1)","Category (Flag = 1 if category is wrong )","MERCHANT NAME FOR GOOGLE SEARCH","num_tansactions","higest_amount","Original Transaction Descriptor (Use this field for reference)","lowest_amount","lowest_amount_descriptor","Category","other_information","Remarks, if any (Please input the category name for wrong categories i.e. Flag = 1 OR any other info you want to share)","Notes"
"42","DC","","","","TACO BELL","319","61.9","TACO BELL 719998         636-584-0653 IL","-24","TACO BELL 732381         8476899950   IL","{"Fast Food": 319}","{"QPS": 6}","",""
"31959","DC","","","","ST PAUL GROCERY LL","319","161.1","ST PAUL GROCERY LL       SAINT PAUL   NE","0.6","ST PAUL GROCERY LL       SAINT PAUL   NE","{"Groceries": 319}","","",""
"31952","DC","","","","SOLON-MUSTARD SE","319","301.6","SOLON - MUSTARD SE       SOLON        OH","1.2","SOLON - MUSTARD SE       SOLON        OH","{"Groceries": 319}","","",""
"31921","DC","","","","SCHUMAN CENTER","319","19.1","SCHUMAN CENTER60053592   EAGAN        MN","1.4","SCHUMAN CENTER60053592   EAGAN        MN","{"Fast Food": 319}","","",""
"32163","DC","","","","RUSHORDERTEES / PRINTFLY","319","982.5","RUSHORDERTEES/PRINTFLY   8006201233   PA","-210.1","RUSHORDERTEES/PRINTFLY   8006201233   PA","{"Clothing": 319}","","",""
"45262","DC","","","","REEDS COUNTRY MARK","319","199.6","REEDS COUNTRY MARK       CROSSLAKE    MN","1","REEDS COUNTRY MARK       CROSSLAKE    MN","{"Groceries": 319}","","",""
"32867","DC","","","","PRIVACY PATROL","319","32.2","PRIVACY PATROL           855-2722815  NJ","-24.8","PRIVACY PATROL           855-2722815  NJ","{"Business Services": 319}","","",""
"32745","DC","","","","PARTS WAREH","319","225.2","PAYPAL *PARTS WAREH      402-935-7733 TX","-195.9","PAYPAL *PARTS WAREH      402-935-7733 TX","{"Home": 319}","{"PAYPAL": 319}","",""
"31993","DC","","","","ONLINE TEAM FUNDRAISER","319","500","ONLINE TEAM FUNDRAISER   8888530355   ID","-50","ONLINE TEAM FUNDRAISER   888-853-0355 ID","{"Gifts & Donations": 319}","","",""
"32094","DC","","","","MFA PARKING","319","29","MFA PARKING              BOSTON       MA","6","MFA PARKING              BOSTON       MA","{"Shopping": 319}","","",""
"32082","DC","","","","MAYO PHARMACY","319","899.4","MAYO PHARMACY 00020891   701-2232424  ND","-14.8","MAYO PHARMACY 00020891   BISMARCK     ND","{"Pharmacy": 319}","{"SQ": 1}","",""
"63486","DC","","","","LUDDITES INC","319","893.1","LUDDITES INC             DEUTSCHEOPTIKNV","-421.5","LUDDITES INC             775-4635131  NV","{"Shopping": 319}","","",""
"31965","DC","","","","JOHNDEERESTORE.COM","319","765.4","JOHNDEERESTORE.COM       866-2728750  NC","-393.9","JOHNDEERESTORE.COM       CHARLOTTE    NC","{"Shopping": 319}","","",""
"31996","DC","","","","IN BMV INDPLS","319","994.1","IN BMV INDPLS-AMERIPLE   INDIANAPOLIS IN","0.2","IN BMV INDPLS-MIDT       INDIANAPOLIS IN","{"Uncategorized": 319}","","",""
"31988","DC","","","","FAST HELP","319","607.6","FAST HELP                866 213 7710 OH","-336","FAST HELP                866-213-7710 OH","{"Shopping": 319}","","",""
"31925","DC","","","","EGOV LEETAXCOLLECTOR","319","975","EGOV*LEETAXCOLLECTOR 0000FT MYERS     FL","-47.1","EGOV*LEETAXCOLLECTOR     FT MYERS     FL","{"Uncategorized": 319}","","",""
"31998","DC","","","","CMAYLEWSFERY I-NET","319","199","CMAYLEWSFERY I-NET       NEW CASTLE   DE","-104","CMAYLEWSFERY I-NET       NEW CASTLE   DE","{"Shopping": 319}","","",""
"31994","DC","","","","CHIVEON","319","135","CHIVEON                  5125273500   TX","4.9","CHIVEON                  WWW.CHIVEMEDITX","{"Clothing": 319}","","",""
"31970","DC","","","","CALSTATEAPPLY","319","700","CALSTATEAPPLY            857-3042087  CA","55","CALSTATEAPPLY            857-3042087  CA","{"Uncategorized": 319}","{"CALSTATEAPP": 6}","",""
"32318","DC","","","","CABQ PARKING METERS","319","8","CABQ PARKING METERS      ALBUQUERQUE  NM","1","CABQ PARKING METERS      ALBUQUERQUE  NM","{"Parking": 319}","","",""
"32026","DC","","","","ATLANTIC IOWA-JET","319","12","ATLANTIC IOWA - JET      ATLANTIC     IA","8","ATLANTIC IOWA - JET      ATLANTIC     IA","{"Service & Parts": 319}","","",""
"32447","DC","","","","WUGUANNENG","318","44.1","PAYPAL *WUGUANNENG       4029357733   CA","-7.1","PAYPAL *WUGUANNENG       4029357733","{"Clothing": 318}","{"PAYPAL": 316, "PAYPAL EBAY": 2}","",""
"22732","DC","","","","Westmore Beauty","318","142.3","GRC*Westmore Beauty      888-3663095  CA","-128.5","GRC*Westmore Beauty      888-3663095  CA","{"Shopping": 318}","{"GRC": 318}","",""
"32079","DC","","","","Vice Sporting Goods GmbH","318","674.1","Vice Sporting Goods GmbH Muenchen","-311.4","Vice Sporting Goods GmbH Muenchen","{"Sporting Goods": 318}","","",""
"32091","DC","","","","TANAKAYA","318","110","TANAKAYA                 TUSTIN       CA","4","TANAKAYA                 TUSTIN       CA","{"Restaurants": 318}","","",""
"32111","DC","","","","SN POWER CTR GYM","318","684","SN POWER CTR GYM         FARGO        ND","10","SN POWER CTR GYM         FARGO        ND","{"Entertainment": 318}","","",""
"32127","DC","","","","RICECRK CAFE","318","26.8","RICECRK CAFE  50156645   MOUNDS VIEW  MN","0.4","RICECRK CAFE  50156645   MOUNDS VIEW  MN","{"Fast Food": 318}","","",""
"32071","DC","","","","RESTAURANT KOTO OC","318","954","RESTAURANT KOTO OC       FOUNTAIN VLY CA","18.2","RESTAURANT KOTO OC       FOUNTAIN VLY CA","{"Restaurants": 318}","","",""
"43394","DC","","","","RACINDIRT","318","299.9","RACINDIRT                STRIPE.COM   NY","-7.9","PAYPAL *RACINDIRT        402-935-7733 MO","{"Shopping": 318}","{"PAYPAL": 238}","",""
"45913","DC","","","","PONY MARKET","318","116.6","PONY MARKET              WINNEBAGO    NE","0.9","PONY MARKET              WINNEBAGO    NE","{"Gas": 318}","","",""
"11708","DC","","","","PIZZA HOUSE","318","180","PIZZA HOUSE              SIDNEY       MT","3.2","PIZZA HOUSE              406-4331971  MT","{"Restaurants": 318}","","",""
"32062","DC","","","","NEW ANTENNA 3 UNITS","318","81.1","NEW ANTENNA 3 UNITS      6094147087","-81.1","NEW ANTENNA 3 UNITS      6094147087   HKG","{"Electronics & Software": 318}","","",""
"32092","DC","","","","MILW BREWERS INTERNET","318","984","MILW BREWERS INTERNET    800-9337890  WI","-768","MILW BREWERS INTERNET    MILWAUKEE    WI","{"Entertainment": 318}","","",""
"28664","DC","","","","www.istockphoto.com","318","588","CKO*www.istockphoto.com  866-4786251  WA","-333.2","CKO*www.istockphoto.com  866-4786251  WA","{"Business Services": 318}","","",""
"32119","DC","","","","INTEL F 15 CAFE","318","13.6","INTEL F15 CAFE18317289   ALOHA        OR","1","INTEL F15 CAFE18317289   ALOHA        OR","{"Fast Food": 318}","","",""
"32093","DC","","","","INFOWARSSTORE.COM","318","763.7","INFOWARSSTORE.COM        888-2533139  TX","-71.8","INFOWARSSTORE.COM        888-2533139  TX","{"Shopping": 318}","","",""
"32046","DC","","","","HOTEL HYATT ZIVA CANCU","318","975.1","HOTEL HYATT ZIVA CANCU   BENITO JUAREZ","1.3","HOTEL HYATT ZIVA CANCU   BENITO JUAREZ","{"Hotel": 318}","","",""
"32044","DC","","","","HAMPTON HARDWARE INC","318","932.9","HAMPTON HARDWARE INC     HAMPTON      IA","-118.9","HAMPTON HARDWARE INC     HAMPTON      IA","{"Home": 318}","","",""
"32118","DC","","","","GARBOS OAK VIEW MALL","318","375","GARBOS OAK VIEW MALL     OMAHA        NE","-65","GARBOS OAK VIEW MALL     OMAHA        NE","{"Spa & Massage": 318}","","",""
"80767","DC","","","","FACTORYDIRE","318","899.9","PAYPAL *FACTORYDIRE      402-935-7733 GA","-679.9","PAYPAL *FACTORYDIRE      4029357733   CA","{"Shopping": 318}","{"PAYPAL": 302, "PAYPAL EBAY": 2}","",""
"32048","DC","","","","FACEBK NetworkforGood","318","500","FACEBK NetworkforGood    fb.com/cc    CA","5","FACEBK NetworkforGood    650-5434800  CA","{"Gifts & Donations": 318}","","",""
"32108","DC","","","","COURTS PLUS COMMUN . FITN","318","960","COURTS PLUS COMMUN. FITN 7014996079   ND","-53.7","COURTS PLUS COMMUN. FITN 7014996079   ND","{"Business Services": 318}","","",""
"32043","DC","","","","CARSON DRUG","318","420.5","CARSON DRUG   00026047   CUSTER       SD","1","CARSON DRUG   00026047   CUSTER       SD","{"Pharmacy": 318}","","",""
"33424","DC","","","","BUILDING","318","80","SQ *BUILDING 429 TO      CONCORDIA    KS","1","BUILDING F    19102458   SAINT PAUL   MN","{"Fast Food": 318}","{"OPS": 1, "SQU SQ": 2, "SP": 1, "SQ": 8}","",""
"18722","DC","","","","BEARD PAPAS","318","84.6","BEARD PAPAS              HONOLULU     HI","-6.2","BEARD PAPAS              HONOLULU     HI","{"Groceries": 318}","","",""
"32141","DC","","","","TURNER CLASSIC MOVIES","317","400.1","TURNER CLASSIC MOVIES    888-982-6746 FL","-30.9","TURNER CLASSIC MOVIES    FORT LAUDERDAFL","{"Movies & DVDs": 317}","","",""
"43993","DC","","","","TRANSFORMHQ","317","320.9","TRANSFORMHQ              HTTPSTRANSFORAZ","-69.9","TRANSFORMHQ              888-721-7890 AZ","{"Groceries": 317}","","",""
"31223","DC","","","","THE SMOKING GOAT","317","945.8","THE SMOKING GOAT         OMAHA        NE","-744","THE SMOKING GOAT         OMAHA        NE","{"Restaurants": 317}","","",""
"32237","DC","","","","THE GROVE JUICE","317","372.9","SQ *THE GROVE JUICE      OMAHA        NE","5.4","SQ *THE GROVE JUICE      OMAHA        NE","{"Fast Food": 317}","{"SQ": 317}","",""
"31816","DC","","","","TAPENADA","317","110","TAPENADA T1 ORD          CHICAGO      IL","1.5","TAPENADA T1 ORD          CHICAGO      IL","{"Restaurants": 317}","","",""
"64687","DC","","","","SEVEN NUTRITION","317","105","SEVEN NUTRITION          844-8038484  TX","-57","SEVEN NUTRITION          844-8038484  TX","{"Pharmacy": 317}","","",""
"32149","DC","","","","RIVERSIDE RESORT HTL","317","839","RIVERSIDE RESORT HTL&C   7022982535   NV","-212.6","RIVERSIDE RESORT HTL&C   7022982535   NV","{"Hotel": 317}","","",""
"53540","DC","","","","REPLACE LTD","317","759.9","PAYPAL *REPLACE LTD      402-935-7733 NC","-238.1","PAYPAL *REPLACE LTD      402-935-7733 NC","{"Shopping": 317}","{"PAYPAL": 317}","",""
"32208","DC","","","","PERKINS RST","317","223","PERKINS RST BK00520338   SIDNEY       NE","6.9","PERKINS RST BK00520338   SIDNEY       NE","{"Restaurants": 317}","","",""
"31656","DC","","","","NK NAILS","317","241","NK NAILS                 KEARNEY      NE","7","NK NAILS                 KEARNEY      NE","{"Hair": 317}","","",""
"31636","DC","","","","MDC SOUTHERN LIVING","317","83.5","MDC*SOUTHERN LIVING      800-825-4438 NY","-36","MDC*SOUTHERN LIVING      800-825-4438 NY","{"Shopping": 317}","","",""
"34897","DC","","","","LIUQIAO","317","90.9","PAYPAL *LIUQIAO          402-935-7733 CA","-13.5","PAYPAL *LIUQIAO          402-935-7733 CA","{"Business Services": 317}","{"PAYPAL": 290, "PAYPAL EBAY": 27}","",""
"61512","DC","","","","LAKE VILLAGE AMSTAR","317","308.3","LAKE VILLAGE AMSTAR      LAKE VILLAGE IN","0.8","LAKE VILLAGE AMSTAR      LAKE VILLAGE IN","{"Gas": 317}","","",""
"65622","DC","","","","JOESNEWBALA","317","387.6","PAYPAL *JOESNEWBALA      402-935-7733 MO","-80.4","PAYPAL *EBAY JOESNEWBALA 4029357733   MO","{"Clothing": 317}","{"PP": 106, "PAYPAL": 155, "PAYPAL EBAY": 3, "PP EBAY": 53}","",""
"32182","DC","","","","JACKSON VISITOR CENTER","317","158.2","JACKSON VISITOR CENTER   ASHFORD      WA","-26.9","JACKSON VISITOR CENTER G ASHFORD      WA","{"Shopping": 317}","","",""
"32142","DC","","","","WWW.HOPSKIPDRIVE.COM","317","87.6","WWW.HOPSKIPDRIVE.COM     8444677547   CA","9","WWW.HOPSKIPDRIVE.COM     8444677547   CA","{"Rental Car & Taxi": 317}","","",""
"32145","DC","","","","HANSFOOD I CORP","317","283.7","HANSFOOD I CORP. 00000000HICKSVILLE   NY","-8","HANSFOOD I CORP. 00000000HICKSVILLE   NY","{"Groceries": 317}","","",""
"32268","DC","","","","GPB","317","505","GPB                      WWW.GPB.ORG  GA","-185","GPB                      800-222-4788 GA","{"Gifts & Donations": 317}","{"BB": 15, "PAYPAL": 1}","",""
"32144","DC","","","","GASTROENTEROLOGY SPECIALT","317","919.6","GASTROENTEROLOGY SPECIALTLINCOLN      NE","-526.9","GASTROENTEROLOGY SPECIALTLINCOLN      NE","{"Doctor": 317}","","",""
"32147","DC","","","","FIRE LAKE MOA","317","400","FIRE LAKE MOA            BLOOMINGTON  MN","5.5","FIRE LAKE MOA            BLOOMINGTON  MN","{"Restaurants": 317}","","",""
"32196","DC","","","","DBGRND","317","225.5","DBGRND - MINOT           MINOT        ND","-14.4","DBGRND - MINOT           MINOT        ND","{"Clothing": 317}","","",""
"32232","DC","","","","DAVIS"MARKETPLACE","317","140.9","DAVIS" MARKETPLACE       WATERVILLE   MN","2.6","DAVIS" MARKETPLACE       WATERVILLE   MN","{"Groceries": 317}","","",""
"32189","DC","","","","Custom Pet & Face Prod","317","196.7","BLT*Custom Pet&Face Prod.833-4616710  GA","-119.8","BLT*Custom Pet&Face Prod.833-4616710  GA","{"Shopping": 317}","{"BLT": 317}","",""
"32226","DC","","","","CENTURY SQUARE SHOP","317","350.7","CENTURY SQUARE SHOP      WEST MIFFLIN PA","-11.6","CENTURY SQUARE SHOP"     WEST MIFFLIN PA","{"Groceries": 317}","","",""
"24102","DC","","","","BRIGHTNOW DENTAL","317","921","10080 BRIGHTNOW DENTAL   FRESNO       CA","-137.2","90110 BRIGHTNOW DENTAL   IRVINE       CA","{"Dentist": 317}","","",""
"32428","DC","","","","24HOURWRISTBANDS.COM","317","943.3","24HOURWRISTBANDS.COM     855-711-4467 TX","-273.5","24HOURWRISTBANDS.COM     855-711-4467 TX","{"Clothing": 317}","","",""
"32678","DC","","","","ZA","316","298.8","ZA$NO0SUFUEISU SUTANDA0DOTOKYO","3.9","ZA-HA ZAATAR             8183707361   CA","{"Restaurants": 316}","{"PAYPAL": 1, "SQ": 2}","",""
"32295","DC","","","","WINERY HILL CITY, INC","316","685.4","IN *WINERY HILL CITY,INC.HILL CITY    SD","3.5","IN *WINERY HILL CITY,INC.HILL CITY    SD","{"Shopping": 316}","{"IN": 316}","",""
"32304","DC","","","","VIKING CAFE","316","98.1","VIKING CAFE              FERGUS FALLS MN","3.7","VIKING CAFE              FERGUS FALLS MN","{"Restaurants": 316}","","",""
"34219","DC","","","","TWINLEAF EXPRESS","316","162.4","TWINLEAF EXPRESS         FORT COVINGTONY","2.1","TWINLEAF EXPRESS         FORT COVINGTONY","{"Gas": 316}","","",""
"17762","DC","","","","TRADEMARK UNIFORMS INC","316","310.5","TRADEMARK UNIFORMS INC 1 FARGO        ND","-187","TRADEMARK UNIFORMS INC 2 GRAND FORKS  ND","{"Clothing": 316}","","",""
"37866","DC","","","","TJ"S DELI MART","316","102","TJ"S DELI MART #2        MC KEES ROCKSPA","1.7","TJ"S DELI MART #2        MC KEES ROCKSPA","{"Gas": 316}","","",""
"24678","DC","","","","THE MARKET","316","536.6","THE MARKET               SIOUX FALLS  SD","3.4","SQ *SQ *THE MARKET AT    Bartlett     NH","{"Restaurants": 316}","{"SQ SQ": 6, "SQ": 12}","",""
"6939","DC","","","","THE BOATHOUSE","316","357.2","THE BOATHOUSE            ELDON        MO","5","THE BOATHOUSE            724-2831878  SD","{"Restaurants": 316}","{"TST": 79, "SQ": 4}","",""
"32267","DC","","","","SN OSM","316","67.7","SN OSM                   FARGO        ND","-65","SN OSM                   FARGO        ND","{"Doctor": 316}","","",""
"32289","DC","","","","PPA AUTOPARK","316","235","PPA AUTOPARK AT IND MALL PHILADELPHIA PA","4","PPA AUTOPARK AT IND MALL PHILADELPHIA PA","{"Parking": 316}","","",""
"32310","DC","","","","PCD","316","147.1","PCD 0570-003-922         0570003922","0.9","PCD 0570-003-922         0570003922   GBR","{"Shopping": 316}","","",""
"32294","DC","","","","PAGETURNERS LOUNGE","316","151","PAGETURNERS LOUNGE       OMAHA        NE","2","PAGETURNERS LOUNGE       OMAHA        NE","{"Restaurants": 316}","","",""
"32314","DC","","","","NORWEGIAN ESCAPE","316","995.6","NORWEGIAN ESCAPE         MIAMI        FL","0","NORWEGIAN ESCAPE         MIAMI        FL","{"Travel": 316}","","",""
"32259","DC","","","","MR PIZZA OF ROCHESTER","316","202.5","MR PIZZA OF ROCHESTER    ROCHESTER    MN","1.5","MR PIZZA OF ROCHESTER    ROCHESTER    MN","{"Restaurants": 316}","","",""
"32264","DC","","","","MORE BURGERS AND SHAKE","316","75.9","MORE BURGERS AND SHAKE   307-5865454  WY","0.5","MORE BURGERS AND SHAKE   724-2831878  WY","{"Restaurants": 316}","","",""
"33115","DC","","","","MKT","316","675","PAYPAL *MKT TMG RPT      35314369001","-5.4","MKT LAS                  LAS VEGAS    NV","{"Fast Food": 316}","{"TMG RPT": 1, "SQ": 7}","",""
"32336","DC","","","","mkcares marykayfoundation","316","500","mkcares@marykayfoundationADDISON      TX","0","mkcares@marykayfoundationADDISON      TX","{"Gifts & Donations": 316}","","",""
"85771","DC","","","","GAME FOCUS","316","105.4","GOOGLE *GAME FOCUS       g.co/helppay#CA","0.9","GOOGLE *GAME FOCUS       g.co/helppay#CA","{"Electronics & Software": 316}","{"GOOGLE": 316}","",""
"32346","DC","","","","FRANKLIN FAST STOP","316","107.1","FRANKLIN FAST STOP       FRANKLIN     IL","2.2","FRANKLIN FAST STOP       FRANKLIN     IL","{"Gas": 316}","","",""
"32325","DC","","","","ELCARAJO","316","282.1","ELCARAJO_1               MIAMI        FL","2.5","ELCARAJO_1               MIAMI        FL","{"Restaurants": 316}","","",""
"32327","DC","","","","EHP CROSSFIT","316","428.4","EHP CROSSFIT             218-5120515  MN","-206.1","EHP CROSSFIT             MOORHEAD     MN","{"Entertainment": 316}","","",""
"32485","DC","","","","DJO, LLC","316","980.5","DJO, LLC                 800-321-9549 CA","-298.8","DJO, LLC                 VISTA        CA","{"Health & Fitness": 316}","","",""
"34941","DC","","","","DINGXIAOHON","316","91.6","PAYPAL *DINGXIAOHON      402-935-7733 CA","-3.3","PAYPAL *DINGXIAOHON      402-935-7733 CA","{"Clothing": 316}","{"PAYPAL": 302, "PAYPAL EBAY": 14}","",""
"32343","DC","","","","DHGAMES LIMITE","316","107.5","GOOGLE *DHGAMES LIMITE   g.co/helppay#CA","0.9","GOOGLE *DHGAMES LIMITE   g.co/helppay#CA","{"Electronics & Software": 316}","{"GOOGLE": 316}","",""
"32345","DC","","","","CHP MAIN CAMPUS CAFE","316","41.3","CHP MAIN CAMPUS CAFE     PITTSBURGH   PA","0.7","CHP MAIN CAMPUS CAFE     PITTSBURGH   PA","{"Restaurants": 316}","","",""
"32319","DC","","","","CBRE RIVERVIEW","316","13.7","CBRE RIVERVIEW11406451   NORWALK      CT","1.8","CBRE RIVERVIEW11406451   NORWALK      CT","{"Fast Food": 316}","","",""
"32284","DC","","","","BUDGETGOLF.COM","316","849.9","BUDGETGOLF.COM           866-336-3300 CA","-426.8","BUDGETGOLF.COM           866-336-3300 CA","{"Sporting Goods": 316}","","",""
"32324","DC","","","","BIGBADTOYST","316","398","PP*BIGBADTOYST           402-935-7733 WI","-108.9","PP*BIGBADTOYST           402-935-7733 WI","{"Shopping": 316}","{"PP": 309, "PAYPAL": 7}","",""
"32036","DC","","","","B Bops Ames","316","37.2","B Bops Ames              AMES         IA","-2.6","B Bops Ames              AMES         IA","{"Restaurants": 316}","","",""
"32322","DC","","","","AWESALES","316","199.9","PAYPAL *AWESALES         402-935-7733 CA","-24.9","PAYPAL *AWESALES         4029357733","{"Shopping": 316}","{"PAYPAL": 316}","",""
"32307","DC","","","","Association Payment","316","954.8","Association Payment      MESA         AZ","-25.7","Association Payment      MESA         AZ","{"Mortgage & Rent": 316}","","",""
"32340","DC","","","","ALIVE BY RAINTREE","316","78","ALIVE BY RAINTREE        970-490-1300 CO","-10","ALIVE BY RAINTREE        FORT COLLINS CO","{"Entertainment": 316}","","",""
"32287","DC","","","","ACTBLUE . OCASI","316","110","ACTBLUE*ALEXANDRIA.OCASI actbluecc.comMA","-25","ACTBLUE*ALEXANDRIA.OCASI actbluecc.comMA","{"Gifts & Donations": 316}","{"ALEXANDRIA": 316}","",""
"32368","DC","","","","WBG MILLENNIUM","315","86.9","WBG MILLENNIUM18204016   WASHINGTON   DC","1.1","WBG MILLENNIUM18204016   WASHINGTON   DC","{"Fast Food": 315}","","",""
"45180","DC","","","","WANGJIE","315","237.9","PAYPAL *WANGJIE          402-935-7733 CA","-89.9","PAYPAL *WANGJIE          4029357733","{"Internet": 315}","{"PAYPAL": 313, "PAYPAL EBAY": 2}","",""
"32361","DC","","","","VIEWPOINTE VISION","315","973.9","VIEWPOINTE VISION        OMAHA        NE","10","VIEWPOINTE VISION        OMAHA        NE","{"Eyecare": 315}","","",""
"32383","DC","","","","STEEPED TEA INC","315","992.4","STEEPED TEA INC          BUFFALO      NY","-75.9","STEEPED TEA INC          8557770132   NY","{"Groceries": 315}","","",""
"32469","DC","","","","SOFTWARE PRO WORLD","315","223.2","SOFTWARE PRO WORLD       LONDON       LND","-49.9","SOFTWARE PRO WORLD       LONDON       LND","{"Electronics & Software": 315}","","",""
"32387","DC","","","","SEGPAY","315","150","SEGPAY-RealLife.com      SEGPAY-RealL GBR","-69.9","SEGPAY-WHALE.COM         866-4504000  NV","{"Shopping": 315}","","",""
"32430","DC","","","","PREHISTORIC PUT","315","192","SQ *PREHISTORIC PUT      OMAHA        NE","2.5","SQ *PREHISTORIC PUT      OMAHA        NE","{"Entertainment": 315}","{"SQ": 315}","",""
"59850","DC","","","","POP FIT","315","176","PAYPAL *POP FIT          402-935-7733 NV","-150","PAYPAL *POP FIT          402-935-7733 NV","{"Clothing": 315}","{"PAYPAL": 174}","",""
"32441","DC","","","","PARKING MAC SQUARE","315","20","PARKING MAC SQUARE       MILWAUKEE    WI","3","PARKING MAC SQUARE       MILWAUKEE    WI","{"Parking": 315}","","",""
"32450","DC","","","","PACK A DILLY","315","275","SQU*SQ *PACK A DILLY     FORT COLLINS CO","1.1","SQ *PACK A DILLY  (      FORT COLLINS CO","{"Business Services": 315}","{"SQU SQ": 13, "SQ": 302}","",""
"31843","DC","","","","MidCityOBGYN","315","816.1","PHR*MidCityOBGYN         402-3976600  NE","-40","PHR*MidCityOBGYN         402-3976600  NE","{"Doctor": 315}","{"PHR": 315}","",""
"40699","DC","","","","MI","315","945","PAYPAL *MI               402-935-7733 MI","2","MI                       OMAHA        NE","{"Service & Parts": 315}","{"DETAILE": 3, "PAYPAL": 6, "DTMB ORS FEE": 2, "BOX MOBILE": 2, "GOOGLE": 2}","",""
"32393","DC","","","","LOYALTY LIQUORS","315","132.7","LOYALTY LIQUORS          FORT COLLINS CO","1.8","LOYALTY LIQUORS          FORT COLLINS CO","{"Alcohol & Bars": 315}","{"FIV": 1}","",""
"32407","DC","","","","KAKU MAKINO","315","917","KAKU MAKINO              LAS VEGAS    NV","21.6","KAKU MAKINO              LAS VEGAS    NV","{"Restaurants": 315}","","",""
"32784","DC","","","","JOHNS SERVICE","315","829.5","JOHNS SERVICE            YANKTON      SD","3.1","JOHNS SERVICE            YANKTON      SD","{"Gas": 315}","","",""
"32362","DC","","","","ILLINOISSECRETARYOFSTATE","315","876.9","ILLINOISSECRETARYOFSTATE-217-7853920  IL","4","ILLINOISSECRETARYOFSTATE 217-785-3920 IL","{"Uncategorized": 315}","","",""
"54817","DC","","","","GRESHAM TOWN MART","315","100","GRESHAM TOWN MART        GRESHAM      WI","1.4","GRESHAM TOWN MART        GRESHAM      WI","{"Gas": 315}","","",""
"32412","DC","","","","GNAC BUFFET","315","111.7","GNAC BUFFET              ATLANTIC CITYNJ","7.3","GNAC BUFFET              ATLANTIC CITYNJ","{"Restaurants": 315}","","",""
"32490","DC","","","","FAT BURGER","315","54.4","FAT BURGER #126          HENDERSON    NV","1.7","FAT BURGER #143          HENDERSON    NV","{"Fast Food": 315}","{"GOLDENMILE": 1}","",""
"32402","DC","","","","FAIRWAY MKT UT","315","413","FAIRWAY MKT UT           NEW YORK     NY","-8.7","FAIRWAY MKT UT           NEW YORK     NY","{"Groceries": 315}","","",""
"32351","DC","","","","DARNGOODYARN","315","268.5","DARNGOODYARN             5183771177   NY","-13.9","DARNGOODYARN             5183771177   NY","{"Shopping": 315}","","",""
"32477","DC","","","","BRICKHOUSE RESTAURANT","315","458.3","BRICKHOUSE  RESTAURANT  BROSEAU       MN","2.6","BRICKHOUSE  RESTAURANT  BROSEAU       MN","{"Alcohol & Bars": 315}","","",""
"32454","DC","","","","BISMANONLIN","315","124.9","PAYPAL *BISMANONLIN      402-935-7733 ND","1.8","PAYPAL *BISMANONLIN      402-935-7733 ND","{"Advertising": 315}","{"PAYPAL": 315}","",""
"30726","DC","","","","ATHLINKS","315","504.2","ATHLINKS-2019-LEADVILL   8886002298   CO","-365","ATHLINKS-2019-NEW-YORK   888-600-2298 CO","{"Business Services": 315}","{"ROCK": 2, "FITBIT": 2, "AUTISM": 3, "OUTDOOR": 1, "TUPPER": 1, "ANNUAL": 1, "GEORGE": 1, "LOST": 2, "CHERRISH": 6, "REMEMBER": 1, "MERCEDES": 2, "DIRTY": 10, "INTRAINI": 2, "COON": 1, "TRAILS": 1, "PATS": 1, "SAKATAH": 4, "BUSHWACK": 2, "DIGITAL MEDIA": 1, "FALL": 1, "PRINCETO": 1, "PAWS ON": 1, "MO": 1, "SUPER": 2, "TRIPLE": 3, "GREAT": 1, "SBT": 2, "- 5 K": 4, "CRUISIN": 2, "CRYSTAL": 2, "MOMMYMIL": 2, "MAPLE": 2, "PUBLIX": 7, "RACE 4 RES": 1, "MARTHASS": 1, "METZENBA": 1, "XTERRA": 2, "DOGFISH": 3, "TEXAS": 1, "BAY": 1, "FESTIVAL": 3, "POINT": 1}","",""
"32449","DC","","","","Amwell","315","175","Amwell                   617-2043500  MA","-125","Amwell                   BOSTON       MA","{"Doctor": 315}","","",""
"32390","DC","","","","A 1","315","408","A1 PETCARESUPPLIES.COM   WWW.PETCARESU","-408","A1 PETCARESUPPLIES.COM   WWW.PETCARESU","{"Pet Food & Supplies": 315}","","",""
"33104","DC","","","","WF 4 NYSTAX","314","145.9","WF4 NYSTAX  *SERVICE F   5184575181   CA","0.3","WF4 NYSTAX  *SERVICE FEE 518-457-5181 CA","{"Taxes": 314}","{"SERVICE FEE": 230, "SERVICE": 84}","",""
"32531","DC","","","","TOYOTACOLUMBUS","314","25.5","TOYOTACOLUMBUS11351210   COLUMBUS     IN","0.8","TOYOTACOLUMBUS11351210   COLUMBUS     IN","{"Fast Food": 314}","","",""
"32487","DC","","","","THE COLUMBIAN CIRC","314","246","THE COLUMBIAN CIRC 2     360-694-2312 WA","-125.3","THE COLUMBIAN CIRC 2     360-694-2312 WA","{"Books": 314}","","",""
"32920","DC","","","","SUREMED-IDEALCONCEPTS","314","345","SUREMED -IDEALCONCEPTS   6107400009   PA","20","SUREMED -IDEALCONCEPTS   610-740-0009 PA","{"Financial": 314}","","",""
